"Name","Article_Number","Origin","Category","Brand","Alcohol","Price","Volume","PackagingType","Manufacturer","New_Year","Region","District","Grapes"
"Scala dei Prior","2549314","Spanien","vin","","15,00","209,00","0,75","","","2016","Katalonien","DOCa Priorat","Garnacha  55%, Cabernet Sauvignon 20%, Cariñena 15%, Syrah 10%"
"Firestone Walker DBA 5,0","2186491","USA","öl","Firestone Walker","5,00","1282,56","19,50","","Firestone Walker","2016","","",""
"Firestone Walker Pivo 5,3","2186391","USA","öl","Firestone Walker","5,30","1283,07","19,50","","Firestone Walker","2016","","",""
"Heineken 0,0","2191511","Nederländerna","öl","Heineken","0,00","9,56","0,33","","","2017","","",""
"Firestone Walker DBA 5,0","2186411","USA","öl","Firestone Walker","5,00","23,74","0,35","","Firestone Walker","2016","","",""
"Firestone Walker Pivo 5,3","2186311","USA","öl","Firestone Walker","5,30","23,75","0,35","","Firestone Walker","2016","","",""
"Firestone Walker Easy Jack 4,5","2179111","USA","öl","Firestone Walker","4,50","22,47","0,35","","Firestone Walker","2016","","",""
"Lucente Toscana IGT","2494424","Italien","vin","Luce della Vite","14,50","206,00","0,75","","Luce della Vite","2009","Toscana","","Merlot 75%, Sangiovese 25%"
"Pinot Noir Viña Laroche","2546414","Chile","vin","Viña Laroche","14,00","90,90","0,75","","Viña Laroche","2016","Aconcagua","Casablanca","Pinot Noir"
"Luce Grappa Invecchiata","2718022","Italien","sprit","Luce della Vite","40,00","444,00","0,50","","Luce della Vite","2012","","","Merlot, Sangiovese"
"Bonchelli Rosso EKO","2574014","Italien","vin","MGM Mondo del Vino srl","13,50","88,90","0,75","","MGM Mondo del Vino srl","2018","Sicilien","IGT Terre Siciliane","Nero d'Avola 90% Merlot 10%"
"Uncle Zin Appassimento","2571114","Italien","vin","MGM Mondo del Vino srl","14,50","78,90","0,75","","MGM Mondo del Vino srl","2018","Apulien","IGT Salento","Zinfandel 100%"
"Paxa Veneto Bianco IGT","2491814","Italien","vin","Riolite Vini","12,00","69,90","0,75","","Riolite Vini","","Veneto","","Chardonnay 33%, Garganega 33%, Sauvignon Blanc 33% och Pinot Bianco 1%"
"Luce Toscana IGT","2495324","Italien","vin","Luce della Vite","14,50","621,50","0,75","","Luce della Vite","2010","Toscana","","Merlot 55% och Brunello (Sangiovese Grosso) 45%"
"Antica Osteria Vino Rosso","2545114","Italien","vin","Giogar Vini","12,50","60,90","0,75","","Giogar Vini","2016","Marche","","Montepulcano 80% och Sangiovese 20%"
"Paxa Sauvignon blanc IGT","2523214","Italien","vin","Riolite Vini","12,00","81,90","0,75","","Riolite Vini","2013:2","Veneto","Colli Orientali","Sauvignon Blanc 100%"
"Antica Osteria Vino Bianco","2545014","Italien","vin","Giogar Vini","11,50","60,90","0,75","","Giogar Vini","2016","Marche","","Trebbiano 70% och Verdicchio 30%"
