"Name","Article_Number","Origin","Category","Brand","Alcohol","Price","Volume","PackagingType","Manufacturer","New_Year","Region","District","Grapes"
"Bistro Lager 4,2","1151291","Sverige","öl","Spendrups Bryggeri","4,20","1295,60","30,00","","Spendrups Bryggeri","","","",""
"Mariestads Export 5,3","1104211","Sverige","öl","Spendrups Bryggeri","5,30","16,45","0,33","","Spendrups Bryggeri","","","",""
"Cono Sur 20 Barrels Sauvignon Blanc","2473614","Chile","vin","Cono Sur","13,00","154,00","0,75","","Cono Sur","2010","Aconcagua","Casablanca","Sauvignon Blanc"
"Schweppes Mojito","1374143","","läsk","Spendrups Bryggeri","0,00","26,51","1,50","","Spendrups Bryggeri","2017","","",""
"Loka Naturell","1201343","","vatten","Spendrups Bryggeri","0,00","20,68","1,50","","Spendrups Bryggeri","","","",""
"Loka Naturell","1201340","","vatten","Spendrups Bryggeri","0,00","9,89","0,50","","Spendrups Bryggeri","","","",""
"Trocadero Zero","1336743","","läsk","Spendrups Bryggeri","0,00","22,54","1,50","","Spendrups Bryggeri","2018","","",""
"Loka Naturell","1201339","","vatten","Spendrups Bryggeri","0,00","6,38","0,33","","Spendrups Bryggeri","","","",""
"Trocadero Zero","1336721","","läsk","Spendrups Bryggeri","0,00","5,99","0,33","","Spendrups Bryggeri","2018","","",""
"Loka Naturell","1214821","","vatten","Spendrups Bryggeri","0,00","5,87","0,33","","Spendrups Bryggeri","","","",""
"Schweppes Premium Mixers Tonic Twist of Lime","2337510","","läsk","Spendrups Bryggeri","0,00","10,27","0,20","","Spendrups Bryggeri","","","",""
"Loka Naturell","1201300","","vatten","Spendrups Bryggeri","0,00","5,33","0,33","","Spendrups Bryggeri","","","",""
"Sancerre Rosé","2555514","Frankrike","vin","Domaine La Croix St-Laurent","13,00","139,00","0,75","","Domaine La Croix St-Laurent","2017","Loire","AOC Sancerre","Pinot Noir 100%"
"Cono Sur Sauvignon Blanc EKO","2493914","Chile","vin","Cono Sur","12,50","85,90","0,75","","Cono Sur","","Aconcagua","San Antonio Valley","Sauvignon Blanc 100%"
"Trocadero","1309000","","läsk","Spendrups","0,00","5,83","0,33","","Spendrups","","","",""
"Loka Citron","1200600","","vatten","Spendrups Bryggeri","0,00","5,33","0,33","","Spendrups Bryggeri","","","",""
"Loka Citron","1214721","","vatten","Spendrups Bryggeri","0,00","5,87","0,33","","Spendrups Bryggeri","","","",""
"Loka Citron","1208439","","vatten","Spendrups Bryggeri","0,00","6,38","0,33","","Spendrups Bryggeri","","","",""
"Loka Citron","1200640","","vatten","Spendrups Bryggeri","0,00","9,89","0,50","","Spendrups Bryggeri","","","",""
"Grängesberg Mellan-Original 4,2","1181600","Sverige","öl","Spendrups Bryggeri","4,20","13,40","0,33","","Spendrups Bryggeri","2015","","",""
"Schweppes Soda","1333410","","läsk","Spendrups","0,00","7,28","0,25","","Spendrups","2014","","",""
"Trocadero","1309043","","läsk","Spendrups","0,00","22,54","1,50","","Spendrups","","","",""
"Trocadero","1369721","","läsk","Spendrups","0,00","5,99","0,33","","Spendrups","","","",""
"Trocadero","1309039","","läsk","Spendrups","0,00","6,73","0,33","","Spendrups","","","",""
"Schweppes Ginger Ale","1329243","","läsk","Spendrups","0,00","26,51","1,50","","Spendrups","","","",""
"Schweppes Ginger Ale","1329240","","läsk","Spendrups","0,00","11,03","0,50","","Spendrups","","","",""
"Schweppes Ginger Ale","1329210","","läsk","Spendrups","0,00","7,28","0,25","","Spendrups","","","",""
"Schweppes Russchian","1329443","","läsk","Spendrups","0,00","26,51","1,50","","Spendrups","","","",""
"Schweppes Russchian","1329440","","läsk","Spendrups","0,00","11,03","0,50","","Spendrups","","","",""
"Schweppes Russchian","1329410","","läsk","Spendrups","0,00","7,28","0,25","","Spendrups","","","",""
"Schweppes Indian Tonic Zero","1332943","","läsk","Spendrups","0,00","26,51","1,50","","Spendrups","2013","","",""
"Schweppes Lemon","1329340","","läsk","Spendrups","0,00","11,03","0,50","","Spendrups","","","",""
"Schweppes Lemon","1329343","","läsk","Spendrups","0,00","26,51","1,50","","Spendrups","","","",""
"Schweppes Indian Tonic","1329540","","läsk","Spendrups","0,00","11,03","0,50","","Spendrups","","","",""
"Schweppes Indian Tonic","1329510","","läsk","Spendrups","0,00","7,28","0,25","","Spendrups","","","",""
"Schweppes Indian Tonic Zero","1332940","","läsk","Spendrups","0,00","11,03","0,50","","Spendrups","2013","","",""
"Schweppes Pear Lime","1332543","","läsk","Spendrups","0,00","26,51","1,50","","Spendrups","","","",""
"Norrlands Guld 2,8","1146528","Sverige","öl","Spendrups Bryggeri","2,80","7,45","0,50","","Spendrups Bryggeri","","","",""
"Loka Hallon","1238840","","vatten","Spendrups Bryggeri","0,00","9,89","0,50","","Spendrups Bryggeri","2017","","",""
"Mariestads Export 5,3","1146223","Sverige","öl","Spendrups Bryggeri","5,30","21,93","0,50","","Spendrups Bryggeri","","","",""
"Mariestads Export 5,3","1104201","Sverige","öl","Spendrups Bryggeri","5,30","22,13","0,50","","Spendrups Bryggeri","","","",""
"Schweppes Indian Tonic","1329543","","läsk","Spendrups","0,00","26,51","1,50","","Spendrups","","","",""
"Norrlands Guld Alkoholfri 0,5","1147537","Sverige","öl","Spendrups Bryggeri","0,50","6,36","0,33","","Spendrups Bryggeri","","","",""
"Mariestads Export 5,3","1164221","Sverige","öl","Spendrups Bryggeri","5,30","14,64","0,33","","Spendrups Bryggeri","","","",""
"Nygårda Julmust Cognacsfat","2375514","","läsk","Spendrups Bryggeri","0,00","23,72","0,75","","Spendrups Bryggeri","2017","","",""
"Mads Vodka","2700423","Sverige","sprit","Spendrups Bryggeri","37,50","196,00","0,70","","Spendrups Bryggeri","","","",""
"Schweppes Indian Tonic","1329521","","läsk","Spendrups","0,00","6,07","0,33","","Spendrups","","","",""
"Loka Hallon","1238839","","vatten","Spendrups Bryggeri","0,00","6,38","0,33","","Spendrups Bryggeri","2017","","",""
"The Soda Project","2307011","","läsk","Spendrups Bryggeri","0,00","11,90","0,33","","Spendrups Bryggeri","2017","","",""
"Briska Fläder","1721905","Sverige","cider","Spendrups Bryggeri","4,50","14,69","0,33","","Spendrups Bryggeri","2014","","",""
"Briska Passionsfrukt & Persika","1728405","","cider","Spendrups Bryggeri","4,50","14,84","0,33","","Spendrups Bryggeri","2017","","",""
"Nygårda Julmust Vintage Oak Bourbon","2375314","","läsk","Spendrups","0,00","23,72","0,75","","Spendrups","2011","","",""
"Loka Citron","1200643","","vatten","Spendrups Bryggeri","0,00","20,68","1,50","","Spendrups Bryggeri","","","",""
"Briska Ananas","1722911","Sverige","cider","Spendrups Bryggeri","4,50","16,72","0,33","","Spendrups Bryggeri","2015","","",""
"Trocadero Zero","1336740","","läsk","Spendrups Bryggeri","0,00","9,50","0,50","","Spendrups Bryggeri","2018","","",""
"Briska Äppelcider","1724611","","cider","Spendrups Bryggeri","4,50","16,72","0,33","","Spendrups Bryggeri","2016","","",""
"Briska Mango Eko","1724505","Sverige","cider","Spendrups Bryggeri","4,50","14,84","0,33","","Spendrups Bryggeri","2016","","",""
"Briska Hallon Vinbär Alkoholfri","1720611","Sverige","cider","Spendrups Bryggeri","0,50","10,00","0,33","","Spendrups Bryggeri","2014","","",""
"Briska Fläder","1721911","Sverige","cider","Spendrups Bryggeri","4,50","16,72","0,33","","Spendrups Bryggeri","2014","","",""
"Briska Fläder Alkoholfri","1722611","Sverige","cider","Spendrups Bryggeri","0,50","10,00","0,33","","Spendrups Bryggeri","2015","","",""
"Nygårda Fruktsoda Eko","1376139","","läsk","Spendrups Bryggeri","0,00","7,27","0,33","","Spendrups Bryggeri","","","",""
"Briska Äppelcider Alkoholfri","1727711","","cider","Spendrups Bryggeri","0,50","10,00","0,33","","Spendrups Bryggeri","2017","","",""
"Nygårda Päronsoda Eko","1375939","","läsk","Spendrups Bryggeri","0,00","7,27","0,33","","Spendrups Bryggeri","","","",""
"Briska Hallon Vinbär","1720511","Sverige","cider","Spendrups Bryggeri","4,00","16,72","0,33","","Spendrups Bryggeri","2014","","",""
"Briska Päroncider","1708311","Sverige","cider","Spendrups Bryggeri","4,50","16,72","0,33","","Spendrups Bryggeri","","","",""
"Briska Päroncider Alkoholfri","1718111","Sverige","cider","Spendrups Bryggeri","0,50","10,00","0,33","","Spendrups Bryggeri","2012","","",""
"Nygårda Julmust Calvadosfat","1375411","","läsk","Spendrups Bryggeri","0,00","9,37","0,33","","Spendrups Bryggeri","2015","","",""
"The Soda Project","1375711","","läsk","Spendrups Bryggeri","0,00","10,22","0,33","","Spendrups Bryggeri","2017","","",""
"Nygårda Hallonsoda Eko","1376039","","läsk","Spendrups Bryggeri","0,00","7,27","0,33","","Spendrups Bryggeri","","","",""
"Nygårda Julmust romfat","1335911","","läsk","Spendrups","0,00","9,37","0,33","","Spendrups","2013","","",""
"Dr Pepper","1369821","","läsk","Spendrups","0,00","6,57","0,33","","Spendrups","","","",""
"Nygårda Cola","1331439","","läsk","Spendrups Bryggeri","0,00","6,59","0,33","","Spendrups Bryggeri","","","",""
"Nygårda Julmust Ekfat","1333211","","läsk","Spendrups Bryggeri","0,00","9,37","0,33","","Spendrups Bryggeri","2010","","",""
"Dr Pepper","1330143","","läsk","Spendrups","0,00","26,42","1,50","","Spendrups","","","",""
"Orangina","1330243","","läsk","Spendrups","0,00","25,21","1,40","","Spendrups","","","",""
"Dr Pepper","1330140","","läsk","Spendrups","0,00","9,69","0,50","","Spendrups","","","",""
"Nygårda Julmust Original","1328039","","läsk","Spendrups Bryggeri","0,00","7,26","0,33","","Spendrups Bryggeri","2011","","",""
"Nygårda Julmust Original","1323740","","läsk","Spendrups Bryggeri","0,00","9,44","0,50","","Spendrups Bryggeri","2011","","",""
"Grape Tonic","1308643","","läsk","Spendrups","0,00","22,32","1,50","","Spendrups","","","",""
"Briska Päroncider","1708391","Sverige","cider","Spendrups Bryggeri","4,50","1312,33","30,00","","Spendrups Bryggeri","","","",""
"Nygårda Sockerdricka","1308500","","läsk","Spendrups Bryggeri","0,00","5,01","0,33","","Spendrups Bryggeri","","","",""
"Grape Tonic","1308639","","läsk","Spendrups","0,00","6,73","0,33","","Spendrups","","","",""
"Nygårda Päronsoda","1305300","","läsk","Spendrups Bryggeri","0,00","5,01","0,33","","Spendrups Bryggeri","","","",""
"Orangina","1330240","","läsk","Spendrups","0,00","10,87","0,50","","Spendrups","","","",""
"Briska Päroncider","1708339","Sverige","cider","Spendrups Bryggeri","4,50","16,81","0,33","","Spendrups Bryggeri","","","",""
"Nygårda Påskmust Original","1305000","","läsk","Spendrups Bryggeri","0,00","6,28","0,33","","Spendrups Bryggeri","","","",""
"Nygårda Påskmust Original","1305039","","läsk","Spendrups Bryggeri","0,00","7,26","0,33","","Spendrups Bryggeri","","","",""
"Måltidsdryck Lingon","1304762","","stilldrinkjuice","Spendrups","0,00","590,72","10,00","","Spendrups","","","",""
"Nygårda Fruktsoda","1303800","","läsk","Spendrups Bryggeri","0,00","5,01","0,33","","Spendrups Bryggeri","","","",""
"Måltidsdryck Citron Light","1304662","","stilldrinkjuice","Spendrups","0,00","590,72","10,00","","Spendrups","","","",""
"Nygårda Julmust Original","1303721","","läsk","Spendrups Bryggeri","0,00","5,95","0,33","","Spendrups Bryggeri","2011","","",""
"Nygårda Julmust Original","1303700","","läsk","Spendrups Bryggeri","0,00","6,28","0,33","","Spendrups Bryggeri","2011","","",""
"Nygårda Julmust Original","1303743","","läsk","Spendrups Bryggeri","0,00","23,42","1,50","","Spendrups Bryggeri","2011","","",""
"Måltidsdryck Apelsin","1303562","","stilldrinkjuice","Spendrups","0,00","995,70","10,00","","Spendrups","","","",""
"Måltidsdryck Apelsin","1303500","","stilldrinkjuice","Spendrups","0,00","8,71","0,33","","Spendrups","","","",""
"Nygårda Julmust Light","1303643","","läsk","Spendrups Bryggeri","0,00","23,42","1,50","","Spendrups Bryggeri","","","",""
"Nygårda Apelsin","1302700","","läsk","Spendrups Bryggeri","0,00","5,01","0,33","","Spendrups Bryggeri","","","",""
"Nygårda Hallonsoda","1302100","","läsk","Spendrups Bryggeri","0,00","5,01","0,33","","Spendrups Bryggeri","","","",""
"Nygårda Apelsin","1302739","","läsk","Spendrups Bryggeri","0,00","6,59","0,33","","Spendrups Bryggeri","","","",""
"Champis","1300343","","läsk","Spendrups","0,00","22,32","1,50","","Spendrups","","","",""
"Champis","1300339","","läsk","Spendrups","0,00","6,73","0,33","","Spendrups","","","",""
"Loka Melon Lime","1238743","","vatten","Spendrups Bryggeri","0,00","20,68","1,50","","Spendrups Bryggeri","2017","","",""
"Loka Melon Lime","1238740","","vatten","Spendrups Bryggeri","0,00","9,89","0,50","","Spendrups Bryggeri","2017","","",""
"Loka Melon Lime","1238739","","vatten","Spendrups Bryggeri","0,00","6,38","0,33","","Spendrups Bryggeri","2017","","",""
"Loka Crush Äpple","1238543","","fruktdryck","Spendrups Bryggeri","0,00","23,80","1,40","","Spendrups Bryggeri","2018","","",""
"Loka Crush Äpple","1238540","","fruktdryck","Spendrups Bryggeri","0,00","10,63","0,50","","Spendrups Bryggeri","2018","","",""
"Loka Crush Ananas","1237143","","fruktdryck","Spendrups Bryggeri","0,00","23,80","1,40","","Spendrups Bryggeri","2016","","",""
"Loka Crush Ananas","1237140","","fruktdryck","Spendrups Bryggeri","0,00","10,63","0,50","","Spendrups Bryggeri","2016","","",""
"Loka Grapefrukt Lime","1236339","","vatten","Spendrups Bryggeri","0,00","6,38","0,33","","Spendrups Bryggeri","2017","","",""
"Loka Grapefrukt Lime","1236243","","vatten","Spendrups Bryggeri","0,00","20,68","1,50","","Spendrups Bryggeri","2017","","",""
"Loka Grapefrukt Lime","1236240","","vatten","Spendrups Bryggeri","0,00","9,89","0,50","","Spendrups Bryggeri","2017","","",""
"Champis","1300300","","läsk","Spendrups","0,00","5,83","0,33","","Spendrups","","","",""
"Loka Passionsfrukt Citron","1234640","","vatten","Spendrups Bryggeri","0,00","9,89","0,50","","Spendrups Bryggeri","2015","","",""
"Loka Passionsfrukt Citron","1234639","","vatten","Spendrups Bryggeri","0,00","6,38","0,33","","Spendrups Bryggeri","2015","","",""
"Loka Passionsfrukt Citron","1234643","","vatten","Spendrups Bryggeri","0,00","20,68","1,50","","Spendrups Bryggeri","2015","","",""
"Loka Crush Jordgubb","1233140","","fruktdryck","Spendrups Bryggeri","0,00","10,63","0,50","","Spendrups Bryggeri","2015","","",""
"Loka Crush Jordgubb","1233143","","fruktdryck","Spendrups Bryggeri","0,00","23,80","1,40","","Spendrups Bryggeri","2015","","",""
"Loka Jordgubb Ananas","1230939","","vatten","Spendrups Bryggeri","0,00","6,38","0,33","","Spendrups Bryggeri","2013","","",""
"Loka Mango Päron","1230640","","vatten","Spendrups Bryggeri","0,00","9,89","0,50","","Spendrups Bryggeri","2013","","",""
"Loka Jordgubb Ananas","1230940","","vatten","Spendrups Bryggeri","0,00","9,89","0,50","","Spendrups Bryggeri","2013","","",""
"Loka Grapefrukt Lime","1236200","","vatten","Spendrups Bryggeri","0,00","5,33","0,33","","Spendrups Bryggeri","2017","","",""
"Nygårda Cola","1301200","","läsk","Spendrups Bryggeri","0,00","5,48","0,33","","Spendrups Bryggeri","","","",""
"Loka Crush Hallon","1219221","","fruktdryck","Spendrups Bryggeri","0,00","6,28","0,33","","Spendrups Bryggeri","2014","","",""
"Loka Crush Päron","1219143","","fruktdryck","Spendrups Bryggeri","0,00","23,80","1,40","","Spendrups Bryggeri","2014","","",""
"Loka Crush Päron","1219140","","fruktdryck","Spendrups Bryggeri","0,00","10,63","0,50","","Spendrups Bryggeri","2014","","",""
"Måltidsdryck Äpple","1304862","","stilldrinkjuice","Spendrups","0,00","590,72","10,00","","Spendrups","","","",""
"Nygårda Påskmust Original","1305043","","läsk","Spendrups Bryggeri","0,00","23,42","1,50","","Spendrups Bryggeri","","","",""
"Loka Crush Hallon","1219240","","fruktdryck","Spendrups Bryggeri","0,00","10,63","0,50","","Spendrups Bryggeri","2014","","",""
"Nygårda Påskmust Light","1305143","","läsk","Spendrups Bryggeri","0,00","23,42","1,50","","Spendrups Bryggeri","","","",""
"Loka Smultron Lime","1218640","","vatten","Spendrups Bryggeri","0,00","9,89","0,50","","Spendrups Bryggeri","2013","","",""
"Loka Smultron Lime","1218643","","vatten","Spendrups Bryggeri","0,00","20,68","1,50","","Spendrups Bryggeri","2013","","",""
"Loka Päron","1207500","","vatten","Spendrups Bryggeri","0,00","5,33","0,33","","Spendrups Bryggeri","","","",""
"Loka Päron","1206743","","vatten","Spendrups Bryggeri","0,00","20,68","1,50","","Spendrups Bryggeri","","","",""
"Loka Päron","1214921","","vatten","Spendrups Bryggeri","0,00","5,87","0,33","","Spendrups Bryggeri","","","",""
"Loka Päron","1206739","","vatten","Spendrups Bryggeri","0,00","6,38","0,33","","Spendrups Bryggeri","","","",""
"Spendrups Vichy","1202100","","vatten","Spendrups","0,00","5,09","0,33","","Spendrups","","","",""
"Loka Päron","1206740","","vatten","Spendrups Bryggeri","0,00","9,89","0,50","","Spendrups Bryggeri","","","",""
"Spendrups Soda","1202039","","vatten","Spendrups","0,00","6,19","0,33","","Spendrups","","","",""
"Loka Crush Citron","1219040","","fruktdryck","Spendrups Bryggeri","0,00","10,63","0,50","","Spendrups Bryggeri","2014","","",""
"Mariestads Dunkel 5,8","1186501","Sverige","öl","Spendrups Bryggeri","5,80","24,49","0,50","","Spendrups Bryggeri","2014","","",""
"Melleruds Alkoholfria Pilsner Eko 0,5","1184811","Sverige","öl","Spendrups Bryggeri","0,50","9,97","0,33","","Spendrups Bryggeri","2016","","",""
"Melleruds Prima Julöl Eko 5,0","1187111","Sverige","öl","Spendrups Bryggeri","5,00","17,29","0,33","","Spendrups Bryggeri","2016","","",""
"Grängesberg Jullättöl 2,1","1193200","Sverige","öl","Spendrups Bryggeri","2,10","6,33","0,33","","Spendrups Bryggeri","2017","","",""
"Melleruds Klassiska Ale Eko 5,0","1182111","Sverige","öl","Spendrups Bryggeri","5,00","17,00","0,33","","Spendrups Bryggeri","2016","","",""
"Melleruds Utmärkta Pilsner 4,8","1182091","Sverige","öl","Spendrups Bryggeri","4,80","1409,36","30,00","","Spendrups Bryggeri","","","",""
"Melleruds Utmärkta pilsner Eko 4,5","1182011","Sverige","öl","Spendrups Bryggeri","4,50","16,18","0,33","","Spendrups Bryggeri","2013","","",""
"Melleruds Klassiska Ale Eko 5,0","1182191","Sverige","öl","Spendrups Bryggeri","5,00","1506,56","30,00","","Spendrups Bryggeri","2016","","",""
"Grängesberg Lättöl-Eko 2,1","1181800","Sverige","öl","Spendrups Bryggeri","2,10","5,80","0,33","","Spendrups Bryggeri","2015","","",""
"Loka Crush Citron","1219043","","fruktdryck","Spendrups Bryggeri","0,00","23,80","1,40","","Spendrups Bryggeri","2014","","",""
"Grängesberg Lättöl 2,1","1181791","Sverige","öl","Spendrups Bryggeri","2,10","441,31","30,00","","Spendrups Bryggeri","2015","","",""
"Grängesberg Lättöl 2,1","1181700","Sverige","öl","Spendrups Bryggeri","2,10","5,24","0,33","","Spendrups Bryggeri","2015","","",""
"Mariestads Dunkel 5,8","1177221","Sverige","öl","Spendrups Bryggeri","5,80","15,64","0,33","","Spendrups Bryggeri","2014","","",""
"Grängesberg Lättöl 2,1","1181721","Sverige","öl","Spendrups Bryggeri","2,10","5,43","0,33","","Spendrups Bryggeri","2015","","",""
"Melleruds Paradpilsner Eko 6,0","1177121","Sverige","öl","Spendrups Bryggeri","6,00","16,31","0,33","","Spendrups Bryggeri","2017","","",""
"Grängesberg Lättöl 2,1","1181739","Sverige","öl","Spendrups Bryggeri","2,10","6,88","0,33","","Spendrups Bryggeri","2015","","",""
"Loka Crush Päron","1219121","","fruktdryck","Spendrups Bryggeri","0,00","6,28","0,33","","Spendrups Bryggeri","2014","","",""
"Norrlands Ljus 4,7 Ekologisk","1173039","Sverige","öl","Spendrups Bryggeri","4,70","15,56","0,33","","Spendrups Bryggeri","","","",""
"Loka Crush Hallon","1219243","","fruktdryck","Spendrups Bryggeri","0,00","23,80","1,40","","Spendrups Bryggeri","2014","","",""
"Loka Mango Päron","1230643","","vatten","Spendrups Bryggeri","0,00","20,68","1,50","","Spendrups Bryggeri","2013","","",""
"Norrlands Ljus 4,7 Ekologisk","1173091","Sverige","öl","Spendrups Bryggeri","4,70","1327,36","30,00","","Spendrups Bryggeri","","","",""
"Norrlands Ljus Ekologisk 3,5","1172911","Sverige","öl","Spendrups Bryggeri","3,50","11,09","0,33","","Spendrups Bryggeri","2015","","",""
"Grängesberg Lager Extra 5,9","1172101","Sverige","öl","Spendrups Bryggeri","5,90","21,89","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Ljus 4,7 Ekologisk","1173021","Sverige","öl","Spendrups Bryggeri","4,70","14,58","0,33","","Spendrups Bryggeri","","","",""
"Grängesberg Pilsner 5,0","1172093","Sverige","öl","Spendrups Bryggeri","5,00","42,30","1,00","","Spendrups Bryggeri","2015","","",""
"Grängesberg Pilsner 5,0","1172091","Sverige","öl","Spendrups Bryggeri","5,00","1268,86","30,00","","Spendrups Bryggeri","2015","","",""
"Norrlands Ljus 4,7 Ekologisk","1173011","Sverige","öl","Spendrups Bryggeri","4,70","15,65","0,33","","Spendrups Bryggeri","","","",""
"Guldkällan 5,7","1158921","Sverige","öl","Spendrups Bryggeri","5,70","13,80","0,33","","Spendrups Bryggeri","2013","","",""
"Guldkällan 4,8","1158821","Sverige","öl","Spendrups Bryggeri","4,80","13,10","0,33","","Spendrups Bryggeri","","","",""
"Mariestads Klass II 3,5","1164627","Sverige","öl","Spendrups Bryggeri","3,50","14,74","0,50","","Spendrups Bryggeri","","","",""
"Mariestads Alkoholfri 0,5","1154737","","öl","Spendrups Bryggeri","0,50","7,48","0,33","","Spendrups Bryggeri","2012","","",""
"Mariestads Alkoholfri 0,5","1154711","","öl","Spendrups Bryggeri","0,50","9,38","0,33","","Spendrups Bryggeri","2012","","",""
"Mariestads Continental 4,2","1153291","Sverige","öl","Spendrups Bryggeri","4,20","1335,01","30,00","","Spendrups Bryggeri","2011","","",""
"Mariestads Julebrygd 3,5","1156328","","öl","Spendrups Bryggeri","3,50","14,88","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Guld Export 5,3","1152340","Sverige","öl","Spendrups Bryggeri","5,30","22,42","0,50","","Spendrups Bryggeri","","","",""
"Grängesberg Pilsner 5,0","1172000","Sverige","öl","Spendrups Bryggeri","5,00","14,03","0,33","","Spendrups Bryggeri","2015","","",""
"Mariestads Continental 4,2","1153211","Sverige","öl","Spendrups Bryggeri","4,20","15,29","0,33","","Spendrups Bryggeri","2011","","",""
"Mariestads Julebrygd 5,8","1149923","Sverige","öl","Spendrups Bryggeri","5,80","23,97","0,50","","Spendrups Bryggeri","","","",""
"Premium Lager 2,8","1148837","","öl","Spendrups Bryggeri","2,80","5,10","0,33","","Spendrups Bryggeri","","","",""
"Spendrups Bryggeri Bright Brew 3,5","1148037","","öl","Spendrups Bryggeri","3,50","8,92","0,33","","Spendrups Bryggeri","","","",""
"Norrlands Guld Export 5,3","1147921","Sverige","öl","Spendrups Bryggeri","5,30","14,07","0,33","","Spendrups Bryggeri","","","",""
"Mariestads Old Ox 6,9","1148923","Sverige","öl","Spendrups Bryggeri","6,90","23,29","0,50","","Spendrups Bryggeri","","","",""
"Premium Gold 5,9","1147723","","öl","Spendrups Bryggeri","5,90","21,61","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Guld Alkoholfri 0,5","1147539","Sverige","öl","Spendrups Bryggeri","0,50","9,51","0,33","","Spendrups Bryggeri","","","",""
"Premium Gold 3,5","1147037","","öl","Spendrups Bryggeri","3,50","9,15","0,33","","Spendrups Bryggeri","","","",""
"Norrlands Guld 3,5","1146628","Sverige","öl","Spendrups Bryggeri","3,50","14,49","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Guld Export 5,3","1146323","Sverige","öl","Spendrups Bryggeri","5,30","20,94","0,50","","Spendrups Bryggeri","","","",""
"Mariestads Old Ox 6,9","1139201","Sverige","öl","Spendrups Bryggeri","6,90","24,62","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Djup 6,8","1126101","Sverige","öl","Spendrups Bryggeri","6,80","23,71","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Guld Export 5,3","1152339","Sverige","öl","Spendrups Bryggeri","5,30","15,54","0,33","","Spendrups Bryggeri","","","",""
"Gammeldags Svagdricka 2,0","1109201","Sverige","öl","Spendrups Bryggeri","2,00","9,54","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Guld 3,5","1105991","Sverige","öl","Spendrups Bryggeri","3,50","837,48","30,00","","Spendrups Bryggeri","","","",""
"Bayerskt Lättöl 2,1","1108600","Sverige","öl","Spendrups Bryggeri","2,10","5,27","0,33","","Spendrups Bryggeri","","","",""
"Grängesberg Ekologiska julöl","1104301","Sverige","öl","Spendrups Bryggeri","5,30","23,18","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Guld Export 5,3","1105100","Sverige","öl","Spendrups Bryggeri","5,30","14,77","0,33","","Spendrups Bryggeri","","","",""
"Norrlands Guld Export 5,3","1105111","Sverige","öl","Spendrups Bryggeri","5,30","15,26","0,33","","Spendrups Bryggeri","","","",""
"Norrlands Guld Export 5,3","1105101","Sverige","öl","Spendrups Bryggeri","5,30","21,21","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Guld Export 5,3","1105191","Sverige","öl","Spendrups Bryggeri","5,30","1312,06","30,00","","Spendrups Bryggeri","","","",""
"Mariestads Julebrygd 3,5","1102501","","öl","Spendrups Bryggeri","3,50","17,05","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Guld 3,5","1105940","Sverige","öl","Spendrups Bryggeri","3,50","15,05","0,50","","Spendrups Bryggeri","","","",""
"Norrlands Guld Export 5,3","1105193","Sverige","öl","Spendrups Bryggeri","5,30","43,74","1,00","","Spendrups Bryggeri","","","",""
"Norrlands Guld Lättöl 2,1","1105500","Sverige","öl","Spendrups Bryggeri","2,10","5,36","0,33","","Spendrups Bryggeri","","","",""
"Mariestads Klass II 3,5","1103701","Sverige","öl","Spendrups Bryggeri","3,50","15,63","0,50","","Spendrups Bryggeri","","","",""
"Mariestads Sommarvete","1124811","Sverige","öl","Spendrups Bryggeri","0,50","9,67","0,33","","Spendrups Bryggeri","2016","","",""
"Norrlands Djup 6,8","1126123","Sverige","öl","Spendrups Bryggeri","6,80","22,69","0,50","","Spendrups Bryggeri","","","",""
"Grängesberg Pilsner 5,0","1172001","Sverige","öl","Spendrups Bryggeri","5,00","20,10","0,50","","Spendrups Bryggeri","2015","","",""
"Norrlands Guld Export 5,3","1105192","Sverige","öl","Spendrups Bryggeri","5,30","19773,72","500,00","","Spendrups Bryggeri","","","",""
"The Banana Project by Liquid Industries","1725311","","fab","Spendrups Bryggeri","4,50","17,68","0,33","","Spendrups Bryggeri","2016","","",""
"Briska Mango Eko","1724511","Sverige","cider","Spendrups Bryggeri","4,50","16,44","0,33","","Spendrups Bryggeri","2016","","",""
"Champis","1369621","","läsk","Spendrups","0,00","5,54","0,33","","Spendrups","","","",""
"Orangina","2330210","","läsk","Spendrups","0,00","11,32","0,25","","Spendrups","","","",""
"Smil Äpple","2345350","","stilldrinkjuice","Smil","0,00","4,31","0,20","","Smil","2013","","",""
"Mariestads Julebrygd 5,8","1102601","Sverige","öl","Spendrups Bryggeri","5,80","25,17","0,50","","Spendrups Bryggeri","","","",""
"Smil Päron","2345450","","stilldrinkjuice","Smil","0,00","4,31","0,20","","Smil","2013","","",""
"Kallholmen Levande IPA 5,6","2122911","Sverige","öl","Skellefteå Bryggeri","5,60","20,00","0,33","","Skellefteå Bryggeri","2017","","",""
